Treatment;Replicate;No_Pract;Tillage;Fertilizer;Cover;AMF_PC;WSA_PC;BD_DW_g;BD_g_cm3;dsDNA_ng;dsDNA_DW;St_DW_g;St_DM_PC;St_L_cm;St_FW_g;Ca_pct;Fe_ppm;Zn_ppm;P_pct;K_pct;Mg_pct;Cu_ppm;Mn_ppm;Sum_Seed;Total_1;Total_2;HSW_g;Plant_Yield;Plant_Pod_g;Plant_Pod_No;Beans_Pod;Pod_Length;Yield_g_plot;Yield_kg_ha;Ca_kg_ha;Fe_kg_ha;Zn_kg_ha;P_kg_ha;K_kg_ha;Mg_kg_ha;Cu_kg_ha;Mn_kg_ha;Min_kg_ha;SHI_SD;SHI_AV;Protein_pct;Starch_pct;Phenolics_pct;Protein_kg_ha;Starch_kg_ha;Phenolics_kg_ha
1;1;0;CT;MIN;FA;45;69.77;114.35;1.78671875;78.2;34.75555556;10.52;19.31080798;45.46666667;54.6;0.075051132;56.9751928;36.76071773;0.218666689;0.923856962;0.115908252;32.91632538;26.05332458;1349;1096.4;1332.54;5.72;13.66333333;21.29666667;16.8;8.95;7.485;2428.94;1012.058333;75.95612358;5.766221866;3.720399072;221.3034444;934.9971374;117.3059123;3.331324141;2.636748425;1365.017311;-1.460086358;-0.508889611;25.568503125;39.249088801;0.09676413;258.7681666;397.223674;0.979309441
1;2;0;CT;MIN;FA;46;71.50;111.81;1.74703125;78.3;34.8;9.246666667;21.70804548;41.36666667;42.70333333;0.077553162;26.35269622;11.91298995;0.246654505;1.056118293;0.124076283;6.18771487;7.030493831;1510;1816.02;961.48;4.54;10.83;13.86833333;20.6;9.266666667;7.703333333;2777.5;1157.291667;89.75162832;3.049775573;1.378680399;285.4512027;1222.2369;143.5924489;0.716099086;0.813633192;1746.990368;-0.486194155;-0.542098912;22.559476309;43.683806441;0.05821176;228.3150599;442.1056034;0.589136968
1;3;0;CT;MIN;FA;45;61.70;114.97;1.79640625;73.3;32.57777778;9.126666667;20.35312157;40.86666667;44.78333333;0.076077498;27.71441581;11.29548061;0.236455436;1.068799923;0.122130158;5.533406198;6.939098567;1509;1930.03;977.52;5.41;13.71666667;19.44;28.6;10.23333333;8.066666667;2907.55;1211.479167;92.16630354;3.357543737;1.368423944;286.4608342;1294.82884;147.9581423;0.670360633;0.840657335;1827.651105;-2.569189831;-0.419000636;22.006465195;38.763861222;0.01965939;222.7182649;392.3128878;0.198964495
2;1;1;CT;MIN;SH;45;77.06;109.31;1.70796875;86.4;38.4;10.52666667;18.72777061;42.66666667;56.41333333;0.074575442;44.87320166;20.8501581;0.24119468;1.120076206;0.133236631;14.7066184;12.42069395;1578;1421.65;1496.11;5.38;12.33333333;19.72166667;24.6;8.333333333;6.76;2917.76;1215.733333;90.66385039;5.455384703;2.534823221;293.2284117;1361.71398;161.9802132;1.787932622;1.510025165;1918.874621;0.955686506;-0.587610554;23.573877246;39.315979125;0.11017365;238.5813892;397.9006431;1.115021606
2;2;1;CT;MIN;SH;53;43.48;115.64;1.806875;80.9;35.95555556;10.74666667;20.92308934;45.4;51.75;0.072857286;26.69980337;15.38847722;0.232495832;1.024539702;0.122016847;43.21680259;7.004331142;1461;1389.88;998.04;4.65;10.37833333;15.005;12.8;9.85;7.725;2387.92;994.9666667;72.49057117;2.656541436;1.531102188;231.3256025;1019.382853;121.4026959;4.299927802;0.696907601;1453.786201;-2.712304565;0.129834505;21.442196856;43.931411531;0.05653557;217.0075401;444.6115113;0.572172947
2;3;1;CT;MIN;SH;67;58.93;115.29;1.80140625;79.3;35.24444444;9.446666667;20.72017262;42.86666667;45.17666667;0.079112432;30.82075417;16.15579657;0.233168717;1.051048054;0.124506532;5.953479643;6.965805242;1494;1661.48;864.17;6.27;10.39833333;15.29333333;25;10.41666667;8.033333333;2525.65;1052.354167;83.25429762;3.243434907;1.700161984;245.3760706;1106.074799;131.0249681;0.626516911;0.733049417;1572.033298;0.555823732;0.094625498;21.851086957;37.999172459;0.05653557;221.1457465;384.5737915;0.572172947
3;1;1;CT;ORG;FA;53;72.77;125.59;1.96234375;84.5;37.55555556;6.703333333;32.82717021;32.86666667;21.31;0.074819306;31.37379603;14.88886387;0.250151759;1.077544187;0.126345284;6.532088384;8.041877788;1535;998.01;1255.36;6.02;10.50833333;17.635;17;9.916666667;7.751666667;2253.37;938.9041667;70.24815828;2.945698782;1.397921632;234.8685291;1011.710727;118.6261138;0.6133005;0.755055256;1441.165504;-2.752600421;-0.247036764;21.829268597;40.372850529;0.07832604;220.9249319;408.5967982;0.792705215
3;2;1;CT;ORG;FA;49;87.33;114.26;1.7853125;95.4;42.4;11.01333333;21.01245738;46.03333333;52.13666667;0.074163325;26.63330567;11.12492951;0.236433319;1.049170138;0.12153557;5.443988768;6.943091894;1486;1584.01;1039.23;5.54;10.51833333;15.41166667;18.8;10.08333333;8.263333333;2623.24;1093.016667;81.06175067;2.911064699;1.215973337;258.4255581;1146.760447;132.840404;0.595037046;0.758891516;1624.569126;1.542170952;-0.548343903;21.118176434;43.176669974;0.05653557;213.7282644;436.9730865;0.572172947
3;3;1;CT;ORG;FA;47;44.13;110.69;1.72953125;91.2;40.53333333;7.35;21.77888761;35.96666667;34.07;0.068323915;32.26311433;11.2028834;0.22670888;1.039682952;0.115913822;5.525974873;7.396701216;1456;1190.03;951.89;4.9;15.82666667;19.57666667;23.6;9.216666667;7.82;2141.92;892.4666667;60.97681635;2.87937541;0.99982;202.3301183;927.8823782;103.4492225;0.493174838;0.660130928;1299.671037;-1.604812147;0.081907019;23.797591829;34.394386574;0.05821176;240.8455112;348.0912555;0.589136968
4;1;2;CT;ORG;SH;55;39.26;112.29;1.75453125;86.5;38.44444444;10.68666667;18.91515723;46.13333333;55.80333333;0.06896261;37.0558747;15.39308084;0.258371482;1.142474737;0.134569559;6.73695933;7.868333419;1611;1409.91;1536.07;5.9;13.58;21.455;20.4;10.01666667;8.485;2945.98;1227.491667;84.65102882;4.548577739;1.889487846;317.1488407;1402.37822;165.1830123;0.826956144;0.96583137;1977.591955;-1.569626054;0.271518777;22.992806250;37.323893879;0.08838318;232.7006117;377.7395783;0.894489338
